URL,Extension,Dataset,Date Tested
https://www.justice.gov/epstein/files/DataSet 10/EFTA01683565.mp4,mp4,DataSet 10,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 10/EFTA01683429.mp4,mp4,DataSet 10,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 10/EFTA01683562.mp4,mp4,DataSet 10,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00128462.mp4,mp4,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00128466.mp4,mp4,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00128494.mp4,mp4,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00128511.mp4,mp4,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00128532.mp4,mp4,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00128599.mp4,mp4,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00128608.mp4,mp4,DataSet 9,2026-03-17 06:40:45
https://www.justice.gov/epstein/files/DataSet 9/EFTA00128470.mp4,mp4,DataSet 9,2026-03-17 06:40:45
